"";"рейс";"расписание";"ожидаемое.время";"статус";"Авиакомпания";"Номер.рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"67";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-20 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"68";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-20 21:30:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"69";"FZ 936 Ростов-на-Дону — ДубайBoeing 737-800";"2018-05-21 02:30:00";NA;"ожидается";" Flydubai";"FZ 936";"Дубай";"Boeing 737-800";"55.2961962";"25.2683521";2
"70";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-21 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"71";"B2 936 Ростов-на-Дону — МинскEmbraer EMB 175";"2018-05-21 03:15:00";NA;"ожидается";" Белавиа";"B2 936";"Минск";"Embraer EMB 175";"93.3343983";"57.099061";4
"72";"U6 923 Ростов-на-Дону — ПрагаAirbus A319";"2018-05-21 03:40:00";NA;"ожидается";" Уральские авиалинии";"U6 923";"Прага";"Airbus A319";"14.4212535";"50.0874654";6
"73";"OK 915 Ростов-на-Дону — ПрагаAirbus A319";"2018-05-21 03:50:00";NA;"ожидается";" Czech Airlines";"OK 915";"Прага";"Airbus A319";"14.4212535";"50.0874654";6
"74";"TK 294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-21 04:10:00";NA;"ожидается";" Turkish Airlines";"TK 294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"75";"UT 4294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-21 04:10:00";NA;"ожидается";" ЮТэйр";"UT 4294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"76";"S7 1160 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-21 05:30:00";NA;"ожидается";" S7 Airlines";"S7 1160";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"77";"SU 1165 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-21 05:50:00";NA;"ожидается";" Аэрофлот";"SU 1165";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"78";"UT 498 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-21 06:35:00";NA;"ожидается";" ЮТэйр";"UT 498";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"79";"SU 6102 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-21 07:00:00";NA;"ожидается";" Россия";"SU 6102";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"80";"A4 201 Ростов-на-Дону — Москва (Внуково)Сухой Суперджет 100";"2018-05-21 07:30:00";NA;"ожидается";" Азимут";"A4 201";"Москва";"Сухой Суперджет 100";"37.6176606";"55.7507178";134
"81";"A4 203 Ростов-на-Дону — Санкт-ПетербургСухой Суперджет 100";"2018-05-21 08:00:00";NA;"ожидается";" Азимут";"A4 203";"Санкт-Петербург";"Сухой Суперджет 100";"30.316229";"59.938732";22
"82";"A4 211 Ростов-на-Дону — МахачкалаСухой Суперджет 100";"2018-05-21 09:15:00";NA;"ожидается";" Азимут";"A4 211";"Махачкала";"Сухой Суперджет 100";"47.49612";"42.97554";3
"83";"8Q 876 Ростов-на-Дону — АнтальяAirbus А321";"2018-05-21 09:20:00";NA;"ожидается";" Onur Air";"8Q 876";"Анталья";"Airbus А321";"30.6954846";"36.9009641";7
"84";"SU 1159 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-21 10:30:00";NA;"ожидается";" Аэрофлот";"SU 1159";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"85";"YC 355 Челябинск — Минеральные ВодыCanadair regional jet";"2018-05-21 10:35:00";NA;"ожидается";" Ямал";"YC 355";"Минеральные Воды";"Canadair regional jet";"43.134969";"44.2107377";2
"86";"SU 6270 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-21 10:50:00";NA;"ожидается";" Россия";"SU 6270";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
