"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"284";"S7 3328 Симферополь — НовосибирскBoeing 737-800";2018-05-26 12:40:00;" ";"ожидается";" S7 Airlines";"S7 3328";"Новосибирск";"Boeing 737-800";"82.9234509";"55.0282171";8
"294";"SU 1621 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-26 12:55:00;" ";"ожидается";" Аэрофлот";"SU 1621";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"304";"U6 2832 Симферополь — Москва (Домодедово)Airbus А321";2018-05-26 13:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2832";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"314";"SU 6144 Симферополь — Москва (Внуково)Boeing 777-300";2018-05-26 14:10:00;" ";"ожидается";" Россия";"SU 6144";"Москва";"Boeing 777-300";"37.6176606";"55.7507178";205
"324";"WZ 5570 Симферополь — Санкт-ПетербургBoeing 737-500";2018-05-26 14:50:00;" ";"ожидается";" Red Wings";"WZ 5570";"Санкт-Петербург";"Boeing 737-500";"30.316229";"59.938732";44
"334";"5N 570 Симферополь — Санкт-ПетербургBoeing 737-500";2018-05-26 14:50:00;" ";"ожидается";" Нордавиа";"5N 570";"Санкт-Петербург";"Boeing 737-500";"30.316229";"59.938732";44
"344";"N4 524 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-26 15:10:00;" ";"ожидается";" Nordwind Airlines";"N4 524";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"354";"U6 2932 Симферополь — ЕкатеринбургAirbus А320";2018-05-26 15:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2932";"Екатеринбург";"Airbus A320";"60.60825";"56.839104";5
"364";"SU 6832 Симферополь — Ростов-на-ДонуAirbus A319";2018-05-26 15:25:00;" ";"ожидается";" Россия";"SU 6832";"Ростов-на-Дону";"Airbus A319";"39.7022756";"47.2249135";8
"374";"SU 1623 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-26 15:35:00;" ";"ожидается";" Аэрофлот";"SU 1623";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"384";"SU 6884 Симферополь — Санкт-ПетербургAirbus A319";2018-05-26 15:55:00;" ";"ожидается";" Россия";"SU 6884";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"394";"SU 6152 Симферополь — Москва (Внуково)Boeing 737-800";2018-05-26 16:30:00;" ";"ожидается";" Россия";"SU 6152";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"404";"U6 522 Симферополь — Москва (Домодедово)Airbus А320";2018-05-26 16:40:00;" ";"ожидается";" Уральские авиалинии";"U6 522";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
